geoid,countyfp,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_white,prc_white_unreliable_flag,cvapdens,cvapdens_unreliable_flag,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag,job_dens,pollvoter_dens,pop10,areakm,popdens,vbm_rate_tot,vbm_rate_lat,vbm_rate_asn,vbm_rate_youth
55035000100,35,0.05233,0,0.8854,0,0.17131,0,0.20429,0,0.06747,0,0.00207,1,0.006,1,0.01407,0,0.94412,0,0.04287,0,0.37683,0,0.01546,0.03649,4817,486.87572,9.8937,0.09796,0.0,,0.11634
55035000200,35,0.00805,1,0.97507,0,0.09617,0,0.06766,0,0.07091,0,0.00154,1,0.00211,1,0.00692,1,0.97521,0,0.04748,0,0.18741,0,0.01158,0.05522,4806,467.04989,10.29012,0.09676,0.0,0.06975,0.23052
55035000301,35,0.00749,1,0.98624,0,0.11602,0,0.08644,0,0.06953,0,0.01047,1,0.0,1,0.0,1,0.98121,0,0.03609,0,0.09524,0,0.00453,0.03765,3629,79.89123,45.42426,0.30546,0.98505,0.21514,0.28873
55035000302,35,0.03112,1,0.94112,0,0.08086,0,0.08689,0,0.09402,0,0.026,1,0.0,1,0.05277,1,0.86976,0,0.07187,0,0.03529,0,0.05126,0.0783,6638,140.75465,47.16008,0.32132,0.27076,0.26971,0.33337
55035000400,35,0.02564,1,0.94056,0,0.14918,0,0.08648,0,0.07617,0,0.03582,1,0.00817,1,0.03708,1,0.89291,0,0.07299,0,0.16113,0,0.0711,0.06156,7259,16.41838,442.12638,0.38294,0.41775,0.08569,0.31822
55035000501,35,0.01036,1,0.98045,0,0.08898,0,0.02445,1,0.04825,0,0.04978,0,0.0,1,0.00262,1,0.9345,0,0.04437,0,0.05442,0,0.01696,0.05208,4864,7.5899,640.85124,0.26885,0.74537,0.29108,0.17311
55035000502,35,0.00785,1,0.97503,0,0.13882,0,0.08662,1,0.08764,0,0.02969,1,0.00671,1,0.01403,1,0.94083,0,0.04611,0,0.27003,0,0.00625,0.04064,4676,8.52242,548.67033,0.25848,0.0,0.11791,0.24759
55035000600,35,0.03089,0,0.9058,0,0.15301,0,0.10203,0,0.15064,0,0.05657,0,0.00636,1,0.03114,1,0.85085,0,0.04574,0,0.2617,0,0.05853,0.04184,5107,6.15796,829.33372,0.21537,0.26102,0.08719,0.20666
55035000700,35,0.06918,1,0.94403,0,0.10717,0,0.09489,0,0.07709,0,0.10918,1,0.00196,1,0.02896,1,0.82782,0,0.04897,0,0.11361,0,0.04635,0.04972,4999,3.73019,1340.14467,0.29289,0.42773,0.25811,0.268
55035000801,35,0.02757,0,0.96272,0,0.06796,0,0.01557,0,0.0706,0,0.0494,1,0.01477,1,0.01181,1,0.91651,0,0.03597,0,0.07752,0,0.00308,0.04059,3544,2.71581,1304.94965,0.30719,0.24153,0.19818,0.26675
