address,lat,lon
123 W HAMILTON AVE EAU CLAIRE WI 54701,44.78526,-91.49734
3520 EASTWIND DR EAU CLAIRE WI 54701,44.7895,-91.45215
121 GARFIELD AVE EAU CLAIRE WI 54701,44.79912,-91.49847
501 E FILLMORE AVE EAU CLAIRE WI 54701,44.78696,-91.48978
3715 LONDON RD EAU CLAIRE WI 54701,44.77786,-91.4611
1314 E LEXINGTON BLVD EAU CLAIRE WI 54701,44.79292,-91.48162
1210 E CLAIREMONT AVE EAU CLAIRE WI 54701,44.79466,-91.48313
1310 MAIN ST EAU CLAIRE WI 54701,44.81284,-91.48317
2233 GOLF RD EAU CLAIRE WI 54701,44.77044,-91.46935
5750 OLD TOWN HALL RD EAU CLAIRE WI 54701,44.76319,-91.42218
W5405 COUNTY ROAD Z EAU CLAIRE WI 54701,44.73413,-91.59785
6500 TOWER DR EAU CLAIRE WI 54703,44.82978,-91.39777
1506 N TOWN HALL RD EAU CLAIRE WI 54703,44.81477,-91.58964
1445 FRONT PORCH PL ALTOONA WI 54720,44.82143,-91.45883
S9515 STATE ROAD 27 AUGUSTA WI 54722,44.69524,-91.13241
145 W LINCOLN ST AUGUSTA WI 54722,44.68005,-91.12147
E26936 COUNTY ROAD G BOYD WI 54726,45.02929,-90.98417
S10414 COUNTY ROAD HH I ELEVA WI 54738,44.68129,-91.4277
E25215 COUNTY ROAD RR FAIRCHILD WI 54741,44.61062,-91.01842
121 FARMER ST FAIRCHILD WI 54741,44.60143,-90.96527
S5555 GREEN MEADOW RD FALL CREEK WI 54742,44.75298,-91.24652
E19980 COUNTY ROAD D FALL CREEK WI 54742,44.82962,-91.12543
122 E LINCOLN AVE FALL CREEK WI 54742,44.76333,-91.276
W6505 COUNTY ROAD ZZ MONDOVI WI 54755,44.65247,-91.62253
E15425 COUNTY ROAD HH OSSEO WI 54758,44.64281,-91.30061
S12455 N RAVEN DR STRUM WI 54770,44.64783,-91.34606
