Unnamed: 0,name,address,lat,lon
1,,1290 NORTH AVE CLEVELAND WI 53015,43.92434,-87.75249
2,,1150 W WASHINGTON AVE CLEVELAND WI 53015,43.91428,-87.75108
3,,15318 COUNTY ROAD X KIEL WI 53042,43.95045,-87.88698
4,,510 3RD ST KIEL WI 53042,43.91147,-88.03207
5,,21935 ROCKVILLE RD KIEL WI 53042,43.9184,-87.99888
6,,1527 DAY ST GREENLEAF WI 54126,44.31374,-88.10147
7,,615 MILWAUKEE ST COLLINS WI 54207,44.08782,-87.98223
8,,200 NORWOOD DR FRANCIS CREEK WI 54214,44.20205,-87.72325
9,,129 S PACKER DR FRANCIS CREEK WI 54214,44.19735,-87.72061
10,,1215 N 8TH ST MANITOWOC WI 54220,44.11125,-87.65408
11,,3613 WALDO BLVD MANITOWOC WI 54220,44.10832,-87.69441
12,,2902 LINDBERGH DR MANITOWOC WI 54220,44.09944,-87.68408
13,,3330 CUSTER ST MANITOWOC WI 54220,44.08882,-87.68747
14,,900 QUAY ST MANITOWOC WI 54220,44.09137,-87.65973
15,,2021 S 14TH ST MANITOWOC WI 54220,44.07412,-87.66574
16,,911 FRANKLIN ST MANITOWOC WI 54220,44.09021,-87.66017
17,,3001 S 10TH ST MANITOWOC WI 54220,44.06158,-87.65716
18,,411 REED AVE MANITOWOC WI 54220,44.11336,-87.6531
19,,1822 SILVER CREEK RD MANITOWOC WI 54220,44.05251,-87.67279
20,,8624 COUNTY ROAD JJ MANITOWOC WI 54220,44.11181,-87.77456
21,,6532 CARSTENS LAKE RD MANITOWOC WI 54220,44.02285,-87.74054
22,,14905 MULBERRY ST MARIBEL WI 54227,44.27651,-87.80259
23,,11626 COUNTY ROAD Z MARIBEL WI 54227,44.27686,-87.82655
24,,14920 COUNTY ROAD Q MISHICOT WI 54228,44.27851,-87.71552
25,,314 W MAIN ST MISHICOT WI 54228,44.24205,-87.64975
26,,314 W MAIN ST MISHICOT WI 54228,44.24205,-87.64975
27,,14004 UPPER FALLS RD CATO WI 54230,44.09059,-87.86483
28,,217 MENASHA ST REEDSVILLE WI 54230,44.154,-87.94903
29,,14134 TAUS RD REEDSVILLE WI 54230,44.18991,-87.86814
30,,8432 N COUNTY RD W REEDSVILLE WI 54230,44.20006,-87.96519
31,,228 W MAIN ST ST NAZIANZ WI 54232,44.00832,-87.92596
32,,5128 TAPAWINGO RD TWO RIVERS WI 54241,44.28462,-87.56704
33,,3201 MISHICOT RD TWO RIVERS WI 54241,44.16356,-87.58124
34,,1717 E PARK ST TWO RIVERS WI 54241,44.1494,-87.56747
35,,1114 LOWELL ST TWO RIVERS WI 54241,44.14392,-87.58388
36,,2801 GARFIELD ST TWO RIVERS WI 54241,44.15969,-87.5565
37,,6525 COUNTY ROAD B TWO RIVERS WI 54241,44.17715,-87.6487
38,,207 S LIBERTY ST VALDERS WI 54245,44.0652,-87.88171
39,,13812 ENGLISH LAKE RD VALDERS WI 54245,44.05151,-87.86253
40,,147 W MENASHA AVE WHITELAW WI 54247,44.14421,-87.82784
41,,626 PARK ST KELLNERSVILLE WI 54215,44.22569,-87.80492
42,,316 W MAIN ST ST NAZIANZ WI 54232,44.00877,-87.93096
