idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
3383,-87.90144,43.08744,0.43991,0.96977,0.0,0.81527,0.79781,0.82653,0.21187,0.16977,0.86652,0.83915,0.40484,0.74308,0.56892,0.56763
853,-87.84904,42.90643,0.33976,0.0,0.51459,0.44369,0.82844,0.75064,0.84376,0.41852,0.53893,0.68073,0.67264,0.30265,0.52766,0.51306
954,-87.86836,42.91401,0.52381,0.86002,0.6675,0.1446,0.94486,0.64255,0.7291,0.62963,0.74974,0.56092,0.77997,0.213,0.57137,0.55828
1056,-87.87789,42.92139,0.59864,0.0,0.44354,0.28866,0.38472,0.41013,0.70983,0.87045,0.63522,0.77974,0.45374,0.57423,0.51615,0.51718
1057,-87.8681,42.9212,0.59864,0.98647,0.20113,0.28866,0.38472,0.41013,0.70983,0.87045,0.63522,0.77974,0.77853,0.9935,0.55472,0.55468
1256,-87.93613,42.93689,0.94263,0.0,0.29501,0.34392,0.31248,0.79577,0.81293,0.83855,0.35631,0.30151,0.87264,0.93122,0.56247,0.5769
1259,-87.90676,42.93634,0.94263,0.98262,0.0,0.34392,0.31248,0.79577,0.81293,0.83855,0.35631,0.30151,0.78707,0.99992,0.54174,0.55718
1263,-87.86759,42.93559,0.82464,0.69456,0.51814,0.44906,0.80227,0.18587,0.54671,0.44051,0.29131,0.24951,0.41421,0.88337,0.55622,0.55757
1358,-87.94568,42.94427,0.94263,0.0,0.41134,0.34392,0.31248,0.79577,0.81293,0.83855,0.35631,0.30151,0.71466,0.70363,0.55934,0.57075
1367,-87.85753,42.9426,0.34588,0.92132,0.23364,0.6768,0.42065,0.73205,0.7579,0.5777,0.29478,0.15064,0.36871,0.92887,0.5241,0.53869
1454,-88.0042,42.95254,0.60197,0.98133,0.3737,0.14875,0.54418,0.28919,0.78246,0.6833,0.34324,0.26954,0.42464,0.95933,0.50834,0.508
1456,-87.98461,42.95219,0.87279,0.9489,0.29478,0.48806,0.60484,0.69834,0.5904,0.84709,0.55435,0.42494,0.30794,0.98239,0.57465,0.5853
1459,-87.95523,42.95165,0.87279,0.66311,0.84732,0.48806,0.60484,0.69834,0.5904,0.84709,0.55435,0.42494,0.22275,0.98723,0.55646,0.55498
1460,-87.94543,42.95147,0.43666,0.79645,0.40975,0.43008,0.85507,0.82033,0.67128,0.79849,0.23802,0.23016,0.62298,0.79705,0.58187,0.58456
1461,-87.93564,42.95128,0.61005,0.66311,0.30816,0.14059,0.61664,0.35004,0.86402,0.94875,0.68012,0.62918,0.62124,0.96153,0.54318,0.54008
1467,-87.87687,42.95017,0.48186,0.96236,0.0,0.75389,0.0,0.85661,0.75147,0.47634,0.46115,0.5353,0.7901,0.73522,0.51892,0.54002
1558,-87.98437,42.95938,0.87279,0.87475,0.0,0.48806,0.60484,0.69834,0.5904,0.84709,0.55435,0.42494,0.30801,0.95835,0.54923,0.55903
1559,-87.97457,42.9592,0.87279,0.87475,0.0,0.48806,0.60484,0.69834,0.5904,0.84709,0.55435,0.42494,0.30801,0.95835,0.5499,0.55969
1566,-87.906,42.95793,0.94263,0.98262,0.0,0.34392,0.31248,0.79577,0.81293,0.83855,0.35631,0.30151,0.78707,0.99992,0.54899,0.56443
1567,-87.8962,42.95774,0.94263,0.98262,0.0,0.34392,0.31248,0.79577,0.81293,0.83855,0.35631,0.30151,0.78707,0.99992,0.54316,0.5586
1568,-87.88641,42.95755,0.94263,0.98262,0.0,0.34392,0.31248,0.79577,0.81293,0.83855,0.35631,0.30151,0.78707,0.99992,0.53895,0.5544
1569,-87.87661,42.95736,0.48186,0.97596,0.24422,0.75389,0.0,0.85661,0.75147,0.47634,0.46115,0.5353,0.79017,0.96788,0.55221,0.57193
1570,-87.86681,42.95718,0.48186,0.95094,0.0,0.75389,0.0,0.85661,0.75147,0.47634,0.46115,0.5353,0.54089,0.98927,0.55162,0.57472
1658,-88.00372,42.96693,0.47014,0.98322,0.2006,0.38239,0.68911,0.38798,0.80522,0.68745,0.39781,0.18798,0.47052,0.96644,0.51323,0.50896
1662,-87.96453,42.96622,0.96765,0.92698,0.22434,0.40174,0.74887,0.59191,0.74014,0.53575,0.27181,0.19599,0.561,0.8966,0.53049,0.53265
1663,-87.95473,42.96604,0.96765,0.8619,0.26916,0.40174,0.74887,0.59191,0.74014,0.53575,0.27181,0.19599,0.58178,0.93265,0.54964,0.54782
1666,-87.92534,42.96549,0.24187,0.8901,0.19327,0.54354,0.0,0.83099,0.82547,0.83069,0.53704,0.18609,0.82925,0.97702,0.56606,0.59252
