geoid,countyfp,job_dens,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_white,prc_white_unreliable_flag,cvapdens,cvapdens_unreliable_flag,pop10,areakm,popdens,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag,pollvoter_dens,vbm_rate_tot,vbm_rate_lat,vbm_rate_asn,vbm_rate_youth
55087010100,87,0.09561,0.02039,1,0.90356,0,0.10258,0,0.2362,0,0.22936,0,0.02694,0,0.06943,1,0.06563,0,0.78446,0,0.01536,0,2762,1.42774,1934.5287,0.19136,0,0.01387,0.36324,0.32894,0.36713,0.42021
55087010200,87,0.00684,0.05376,1,0.96592,0,0.0822,0,0.08195,0,0.07217,0,0.10304,1,0.03553,1,0.05441,1,0.78059,0,0.02351,0,4048,2.00798,2015.95535,0.32801,0,0.02174,0.24888,0.22734,0.14032,0.17453
55087010300,87,0.01523,0.04513,1,0.78966,0,0.15436,0,0.32525,0,0.07488,0,0.01771,1,0.08374,1,0.08092,0,0.78221,0,0.01314,0,2391,0.72824,3283.27826,0.4979,0,0.00853,0.32395,0.30165,0.08858,0.25694
55087010500,87,0.00536,0.02097,0,0.95307,0,0.11138,0,0.0981,0,0.36448,0,0.04348,0,0.02336,0,0.02868,0,0.85407,0,0.02523,0,4451,2.52185,1764.97109,0.06315,0,0.02516,0.39776,0.27345,0.43627,0.57912
55087010601,87,0.01282,0.07475,0,0.95519,0,0.13065,0,0.24441,0,0.06512,0,0.08604,0,0.01909,1,0.12082,0,0.72673,0,0.01937,0,3629,3.18428,1139.66202,0.16678,0,0.0209,0.31325,0.17217,0.18302,0.25136
55087010602,87,0.00378,0.02461,1,0.97962,0,0.09594,0,0.06333,0,0.0857,0,0.03588,1,0.01523,1,0.09886,0,0.83738,0,0.02169,0,3971,2.58633,1535.37973,0.32196,0,0.0192,0.29297,0.20749,0.13962,0.2056
55087010700,87,0.02591,0.04391,1,0.97279,0,0.09275,0,0.15644,0,0.05194,0,0.0638,1,0.01684,1,0.06879,0,0.84393,0,0.02191,0,4339,3.81775,1136.53322,0.08096,0,0.02596,0.33734,0.14148,0.19748,0.32756
55087010800,87,0.00256,0.00285,1,0.9488,0,0.14011,0,0.0592,1,0.05914,0,0.03256,1,0.04585,1,0.00731,1,0.90365,0,0.0087,0,1557,1.48018,1051.90114,0.27037,0,0.00956,0.24886,0.15791,0.26668,0.21742
55087010900,87,0.00139,0.02651,1,0.95647,0,0.10139,0,0.0638,0,0.07947,0,0.05788,1,0.01148,1,0.02894,1,0.85668,0,0.01147,0,2134,1.87198,1139.97236,0.16411,0,0.01346,0.2638,0.21049,0.2442,0.35228
55087011000,87,0.04901,0.0829,0,0.88551,0,0.10731,0,0.20389,0,0.09561,0,0.04609,1,0.01169,1,0.11677,0,0.78452,0,0.03098,0,5665,5.89635,960.76413,0.29141,0,0.02905,0.30294,0.22433,0.21502,0.25112
