idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
134,-89.41063,44.25996,0.1974,0.0,0.84757,0.20663,0.8374,0.71314,0.88994,0.62509,0.67598,0.38343,0.99976,0.47929,0.66112,0.65728
135,-89.40061,44.25991,0.1974,0.92331,0.65538,0.20663,0.8374,0.71314,0.88994,0.62509,0.67598,0.38343,0.99314,0.98107,0.72911,0.73523
185,-89.41055,44.26716,0.1974,0.0,0.68095,0.20663,0.8374,0.71314,0.88994,0.62509,0.67598,0.38343,0.99243,0.87432,0.65762,0.65063
300,-89.28013,44.2808,0.1974,0.0,0.49964,0.20663,0.8374,0.71314,0.88994,0.62509,0.67598,0.38343,0.65964,0.88781,0.66027,0.65455
351,-89.28004,44.288,0.1974,0.0,0.49964,0.20663,0.8374,0.71314,0.88994,0.62509,0.67598,0.38343,0.65964,0.88781,0.66027,0.65455
480,-89.52041,44.31088,0.1974,0.87669,0.66012,0.20663,0.8374,0.71314,0.88994,0.62509,0.67598,0.38343,0.81704,0.80923,0.76183,0.76981
481,-89.51038,44.31084,0.1974,0.87669,0.66012,0.20663,0.8374,0.71314,0.88994,0.62509,0.67598,0.38343,0.81704,0.80923,0.76183,0.76981
767,-89.71071,44.35472,0.6613,0.95882,0.69893,0.75953,0.72355,0.51266,0.0,0.18698,0.5058,0.58036,0.75432,0.84781,0.69498,0.70022
809,-89.28927,44.35286,0.1974,0.91479,0.54059,0.20663,0.8374,0.71314,0.88994,0.62509,0.67598,0.38343,0.66249,0.88095,0.61722,0.60191
818,-89.71067,44.36192,0.6613,0.0,0.57538,0.75953,0.72355,0.51266,0.0,0.18698,0.5058,0.58036,0.75432,0.65728,0.5981,0.59032
