,osm_id,code,fclass,name,point_x,point_y,lon,lat
0,349536387,2005,post_office,Janesville Post Office,-89.0221871000,42.6822678000,-89.02219,42.68227
1,349536597,2005,post_office,Beloit Post Office,-89.0381655000,42.4989040000,-89.03817,42.4989
2,367808626,2002,fire_station,Beloit Fire Department Headquarters,-89.0274530000,42.5097456000,-89.02745,42.50975
3,367808628,2002,fire_station,Fire Station Number 2,-89.0145540000,42.5227926000,-89.01455,42.52279
4,367808751,2007,library,Edgerton Public Library,-89.0717106000,42.8363563000,-89.07171,42.83636
5,367809375,2008,town_hall,Edgerton City Hall,-89.0721612000,42.8352538000,-89.07216,42.83525
6,367809456,2008,town_hall,Milton City Hall,-88.9384433000,42.7755645000,-88.93844,42.77556
7,367809484,2008,town_hall,Milton Township Hall,-88.9614993000,42.7825085000,-88.9615,42.78251
8,545379775,2001,police,Rock County Sherriffs Department,-89.0299511000,42.7278718000,-89.02995,42.72787
9,2916983502,2001,police,Edgerton Police Department,-89.0720824000,42.8346614000,-89.07208,42.83466
10,5181669641,2007,library,University of Wisconsin-Whitewater at Rock County Library,-89.0571048000,42.6491248000,-89.0571,42.64912
11,5610654323,2001,police,Town of Beloit Police Station,-89.0230213000,42.5548032000,-89.02302,42.5548
12,6137786539,2005,post_office,,-89.0317470000,42.5034995000,-89.03175,42.5035
13,6137786540,2001,police,Beloit College Security,-89.0316434000,42.5035180000,-89.03164,42.50352
14,6566475625,2001,police,Milton Police Department,-88.9362110000,42.7704702000,-88.93621,42.77047
15,6566475626,2008,town_hall,Milton City Hall,-88.9362158000,42.7700007000,-88.93622,42.77
16,7213593567,2005,post_office,Evansville Post office,-89.2871867000,42.7780937000,-89.28719,42.77809
17,7802783917,2001,police,Beloit Police Department,-89.0367996000,42.4974839000,-89.0368,42.49748
18,7802783918,2008,town_hall,Beloit City Hall,-89.0372524000,42.4977912000,-89.03725,42.49779
