osm_id,code,fclass,name,point_x,point_y,lon,lat
349362193,2082,school,Adams Elementary School,-89.0107450000,42.6930997000,-89.01074,42.6931
349363769,2082,school,Blackhawk School,-88.9814994000,42.6852888000,-88.9815,42.68529
349363937,2082,school,Bradford School,-88.8559408000,42.6316798000,-88.85594,42.63168
349364217,2082,school,Burdge Elementary School,-89.0426101000,42.5164035000,-89.04261,42.5164
349364366,2082,school,Burr Oak School,-88.8856642000,42.8155639000,-88.88566,42.81556
349367767,2082,school,Dutton School,-89.0512213000,42.5041815000,-89.05122,42.50418
349369057,2082,school,Ellis School,-89.1495579000,42.6655652000,-89.14956,42.66557
349369857,2082,school,Fisher School,-89.2090029000,42.5991772000,-89.209,42.59918
349370819,2082,school,Frances E Willard School,-89.0403889000,42.6350116000,-89.04039,42.63501
349371712,2082,school,Hackett Elementary School,-89.0458013000,42.5019699000,-89.0458,42.50197
349371946,2082,school,Glen Oaks School,-89.0313336000,42.7233811000,-89.03133,42.72338
349372931,2082,school,Hillcrest School,-89.1070574000,42.7019536000,-89.10706,42.70195
349373177,2082,school,,-88.9711529000,42.6922815000,-88.97115,42.69228
349373313,2082,school,Rock County Christian Elementary School,-89.0321304000,42.6053946000,-89.03213,42.60539
349374028,2082,school,Howarth School,-88.9542767000,42.7005664000,-88.95428,42.70057
349375714,2082,school,Jefferson Elementary School,-88.9990363000,42.7016738000,-88.99904,42.70167
349377342,2082,school,Kenucane School,-89.0914999000,42.5105697000,-89.0915,42.51057
349378075,2082,school,Lincoln Elementary School,-89.0420557000,42.6527890000,-89.04206,42.65279
349378137,2082,school,Lincoln Junior High School,-89.0509435000,42.5066814000,-89.05094,42.50668
349380956,2082,school,Merrill Elementary School,-89.0214986000,42.5183481000,-89.0215,42.51835
349383145,2082,school,Oakdale School,-89.0140004000,42.7897300000,-89.014,42.78973
349383192,2082,school,Morgan Elementary School,-88.9903870000,42.5227928000,-88.99039,42.52279
349383855,2082,school,Newark Elementary School,-89.2075433000,42.5176311000,-89.20754,42.51763
349385164,2082,school,Pleasant Hill School,-89.1698355000,42.5997331000,-89.16984,42.59973
349386282,2082,school,Rock School,-89.0815007000,42.6216782000,-89.0815,42.62168
349386312,2082,school,Rock River School,-88.9839996000,42.8255626000,-88.984,42.82556
349386611,2082,school,Ritters Corners School,-88.7784403000,42.7430669000,-88.77844,42.74307
349386703,2082,school,Roosevelt Elementary School,-89.0078052000,42.6823467000,-89.00781,42.68235
349387215,2082,school,,-89.0159429000,42.5136261000,-89.01594,42.51363
349387725,2082,school,Powers Elementary School,-89.0359436000,42.5541804000,-89.03594,42.55418
349390244,2082,school,Royce Elementary School,-89.0489991000,42.5114035000,-89.049,42.5114
349391350,2082,school,Saint Pauls School,-89.0284349000,42.6780311000,-89.02843,42.67803
349392546,2082,school,Saint Paul School,-89.0076110000,42.6844552000,-89.00761,42.68446
349394896,2082,school,Schuster School,-88.9989984000,42.5397368000,-88.999,42.53974
349395457,2082,school,F J Turner High School,-89.0196056000,42.5550890000,-89.01961,42.55509
349397588,2082,school,Wisconsin Center for the Blind and Visually Impaired,-89.0401114000,42.6650109000,-89.04011,42.66501
349398023,2082,school,Yahara Elementary School,-89.1567812000,42.7988949000,-89.15678,42.79889
349400014,2082,school,Vickerman School,-88.8956648000,42.7713984000,-88.89566,42.7714
349400427,2082,school,Waterman School,-89.0287210000,42.5252924000,-89.02872,42.52529
349403595,2082,school,Orfordville Elementary School,-89.2595596000,42.6308425000,-89.25956,42.63084
349403607,2082,school,Parkview High School,-89.2562263000,42.6311203000,-89.25623,42.63112
349403798,2082,school,Footville Elementary School,-89.2087878000,42.6724176000,-89.20879,42.67242
349404873,2082,school,Millard Home School,-89.3061331000,42.7775493000,-89.30613,42.77755
349404971,2082,school,Our Lady of the Assumption School,-89.0034428000,42.5291815000,-89.00344,42.52918
349405027,2082,school,Evansville Elementary School,-89.3071448000,42.7752567000,-89.30714,42.77526
349405047,2082,school,George S Parker Senior High School,-89.0642788000,42.6852879000,-89.06428,42.68529
349405271,2082,school,Saint Johns School,-89.0687236000,42.8297282000,-89.06872,42.82973
349405288,2082,school,Saint Matthews Evangelical Lutheran School,-89.0151250000,42.6924353000,-89.01512,42.69244
349405306,2082,school,Rock County Christian School,-89.0262208000,42.5011263000,-89.02622,42.50113
349405353,2082,school,Seventh Day Adventist Elementary School,-89.0528881000,42.5147367000,-89.05289,42.51474
349405374,2082,school,Turner Middle School,-89.0179302000,42.5550507000,-89.01793,42.55505
349405564,2082,school,Child High School,-89.0709459000,42.8361168000,-89.07095,42.83612
349405603,2082,school,Beloit Memorial High School,-89.0370544000,42.5139036000,-89.03705,42.5139
349405623,2082,school,Beloit Vocational School,-89.0370544000,42.5122370000,-89.03705,42.51224
349405644,2082,school,Edgerton Elementary School,-89.0712236000,42.8422278000,-89.07122,42.84223
349405660,2082,school,Edgerton Middle School,-89.0737237000,42.8425055000,-89.07372,42.84251
349405696,2082,school,Cox School,-89.0870574000,42.7886181000,-89.08706,42.78862
367808559,2014,arts_centre,Miles Music Center,-89.0302213000,42.5035440000,-89.03022,42.50354
660523641,2501,supermarket,Former Cub Foods - Closed,-89.0290689000,42.4965568000,-89.02907,42.49656
2399952816,2501,supermarket,Piggly Wiggly,-89.0574123000,42.8468844000,-89.05741,42.84688
3056688250,2303,cafe,Coffee at Dawn,-89.3005231000,42.7801590000,-89.30052,42.78016
4386354492,2303,cafe,The Depot Cafe,-89.0703441000,42.8332844000,-89.07034,42.83328
4402952295,2303,cafe,Mocha Moment,-89.0305322000,42.6647011000,-89.03053,42.6647
5181669642,2303,cafe,Campus Café,-89.0566848000,42.6490078000,-89.05668,42.64901
5404250879,2081,university,Concordia University Wisconsin-Beloit Center,-88.9894693000,42.5240663000,-88.98947,42.52407
5610650867,2110,hospital,Beloit Clinic,-89.0100076000,42.5505052000,-89.01001,42.55051
6137786537,2303,cafe,Java Joint,-89.0317577000,42.5037497000,-89.03176,42.50375
6137786538,2303,cafe,D.K.'s Snack Bar,-89.0316219000,42.5036339000,-89.03162,42.50363
6139038082,2303,cafe,Starbucks,-88.9834113000,42.5249077000,-88.98341,42.52491
6139223558,2303,cafe,Flying Pig,-89.0343393000,42.4998652000,-89.03434,42.49987
6139223560,2303,cafe,The Root Cellar at The Castle,-89.0305772000,42.5007806000,-89.03058,42.50078
6139223561,2303,cafe,Bagels & More,-89.0360022000,42.4994517000,-89.036,42.49945
6566475587,2501,supermarket,Piggly Wiggly,-88.9382468000,42.7698434000,-88.93825,42.76984
7278796258,2303,cafe,Starbucks,-88.9984064000,42.7223835000,-88.99841,42.72238
7287070651,2082,school,AgriScience Tech Ed Facility,-88.9561553000,42.7751083000,-88.95616,42.77511
7800192525,2501,supermarket,Woodman's Supermarket,-89.0706004000,42.5247280000,-89.0706,42.52473
7839529862,2012,community_centre,Town Of Turtle Community Center,-88.9436999000,42.5778355000,-88.9437,42.57784
7839530156,2501,supermarket,IGA,-88.8642835000,42.5634948000,-88.86428,42.56349
