provider,lat,lon,num_stops_per_week,score
Beloit Transit System,42.57371,-89.02951,12,1
Beloit Transit System,42.58707,-89.01955,12,1
Beloit Transit System,42.5897,-89.02013,12,1
Beloit Transit System,42.60146,-89.02516,12,1
Beloit Transit System,42.63178,-89.03093,12,1
Beloit Transit System,42.63449,-89.03093,12,1
Beloit Transit System,42.64662,-89.03094,12,1
Beloit Transit System,42.64993,-89.04093,12,1
Beloit Transit System,42.69622,-89.03016,12,1
Beloit Transit System,42.64999,-89.05079,12,1
Beloit Transit System,42.65631,-89.05514,12,1
Beloit Transit System,42.6616,-89.04793,1,1
Beloit Transit System,42.6642,-89.03517,12,1
Beloit Transit System,42.66424,-89.03268,12,1
Beloit Transit System,42.67653,-89.03174,12,1
Beloit Transit System,42.68574,-89.02549,12,1
Beloit Transit System,42.69057,-89.02774,12,1
Beloit Transit System,42.69602,-89.02979,12,1
Beloit Transit System,42.70324,-89.03077,12,1
Beloit Transit System,42.71696,-89.00602,12,1
Beloit Transit System,42.70464,-89.01374,12,1
Beloit Transit System,42.70438,-89.03007,12,1
Beloit Transit System,42.70311,-89.03102,12,1
Beloit Transit System,42.69053,-89.02796,12,1
Beloit Transit System,42.68647,-89.02498,12,1
Beloit Transit System,42.68591,-89.0256,12,1
Beloit Transit System,42.6592,-89.05428,1,1
Beloit Transit System,42.58433,-89.01297,11,1
Beloit Transit System,42.58444,-89.01769,11,1
Beloit Transit System,42.53996,-89.03685,11,1
Beloit Transit System,42.52979,-89.0356,11,1
Beloit Transit System,42.5234,-89.03493,11,1
Beloit Transit System,42.51871,-89.03342,11,1
Beloit Transit System,42.50986,-89.032,11,1
Beloit Transit System,42.50274,-89.03282,11,1
Beloit Transit System,42.50456,-89.03211,12,1
Beloit Transit System,42.50957,-89.03172,12,1
Beloit Transit System,42.51314,-89.03218,12,1
Beloit Transit System,42.51836,-89.033,12,1
Beloit Transit System,42.52359,-89.03464,12,1
Beloit Transit System,42.52959,-89.03534,11,1
Beloit Transit System,42.53838,-89.03635,11,1
Beloit Transit System,42.52443,-89.06889,30,2
Beloit Transit System,42.51622,-89.04084,25,2
Beloit Transit System,42.51451,-89.04038,25,2
Beloit Transit System,42.51272,-89.04031,25,2
Beloit Transit System,42.51112,-89.03949,25,2
Beloit Transit System,42.51791,-89.04132,25,2
Beloit Transit System,42.52237,-89.04146,48,2
Beloit Transit System,42.51287,-89.04187,23,2
Beloit Transit System,42.51112,-89.04204,23,2
Beloit Transit System,42.50801,-89.03803,23,2
Beloit Transit System,42.50662,-89.03803,23,2
Beloit Transit System,42.49645,-89.0467,30,2
Beloit Transit System,42.51531,-89.02406,25,2
Beloit Transit System,42.52047,-89.02766,25,2
Beloit Transit System,42.52258,-89.02862,25,2
Beloit Transit System,42.53141,-89.01167,25,2
Beloit Transit System,42.54302,-89.01149,25,2
Beloit Transit System,42.49879,-89.02899,23,2
Beloit Transit System,42.49809,-89.04244,30,2
Beloit Transit System,42.5018,-89.05899,30,2
Beloit Transit System,42.5018,-89.06117,30,2
Beloit Transit System,42.51606,-89.04802,30,2
Beloit Transit System,42.51778,-89.02409,25,2
Beloit Transit System,42.51945,-89.02669,25,2
Beloit Transit System,42.52274,-89.02532,23,2
Beloit Transit System,42.50341,-89.04675,30,2
Beloit Transit System,42.67936,-89.02953,12,1
Beloit Transit System,42.66166,-89.04771,11,1
Beloit Transit System,42.51378,-89.04054,23,2
Beloit Transit System,42.52226,-89.06821,30,2
Beloit Transit System,42.49725,-89.04642,0,0
Beloit Transit System,42.63449,-89.03136,11,1
Beloit Transit System,42.63169,-89.03118,11,1
Beloit Transit System,42.6098,-89.03102,11,1
Beloit Transit System,42.60124,-89.02543,11,1
Beloit Transit System,42.59866,-89.01771,11,1
Beloit Transit System,42.49931,-89.0471,0,0
Beloit Transit System,42.49906,-89.0611,0,0
Beloit Transit System,42.50159,-89.06115,0,0
Beloit Transit System,42.5144,-89.06608,0,0
Beloit Transit System,42.49738,-89.03917,12,1
Beloit Transit System,42.50172,-89.04047,25,2
Beloit Transit System,42.50264,-89.04164,25,2
Beloit Transit System,42.50517,-89.04172,25,2
Beloit Transit System,42.52321,-89.07003,30,2
Beloit Transit System,42.52541,-89.06771,30,2
Beloit Transit System,42.52538,-89.0643,30,2
Beloit Transit System,42.52536,-89.06143,30,2
Beloit Transit System,42.52534,-89.05902,30,2
Beloit Transit System,42.52531,-89.05383,30,2
Beloit Transit System,42.52517,-89.04462,30,2
Beloit Transit System,42.52318,-89.04353,30,2
Beloit Transit System,42.5197,-89.04207,78,3
Beloit Transit System,42.51612,-89.04454,30,2
Beloit Transit System,42.51597,-89.05139,30,2
Beloit Transit System,42.5105,-89.03798,23,2
