idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
189,-88.10522,42.86047,0.76103,0.92671,0.41381,0.89224,0.0,0.65751,0.04511,0.49931,0.03733,0.14214,0.29738,0.94888,0.42609,0.45646
215,-88.33978,42.87145,0.51881,0.93804,0.71395,0.74734,0.79324,0.84752,0.79787,0.59555,0.48148,0.70636,0.0326,0.80418,0.59434,0.59702
217,-88.32021,42.87115,0.31816,0.97301,0.57299,0.78792,0.68637,0.19819,0.5261,0.079,0.92258,0.56984,0.00611,0.93794,0.49148,0.48161
252,-88.46678,42.88048,0.73956,0.0,0.783,0.67937,0.52236,0.52906,0.36939,0.37126,0.7897,0.41686,0.93834,0.55053,0.5673,0.5622
328,-88.21217,42.88385,0.30309,0.90898,0.52305,0.10944,0.56137,0.72764,0.67809,0.2832,0.14007,0.12707,0.98867,0.84555,0.52853,0.53286
454,-88.44646,42.909,0.73956,0.8423,0.46424,0.67937,0.52236,0.52906,0.36939,0.37126,0.7897,0.41686,0.86525,0.90652,0.57229,0.57228
485,-88.143,42.90431,0.78674,0.74478,0.77532,0.8814,0.63554,0.68302,0.5196,0.0,0.52384,0.12057,0.21592,0.7431,0.5608,0.56153
606,-88.40672,42.93003,0.20764,0.0,0.41598,0.40928,0.0,0.3682,0.14549,0.29827,0.46779,0.72015,0.98926,0.9342,0.46811,0.48575
688,-88.08335,42.93209,0.89509,0.85451,0.79108,0.16765,0.72449,0.55053,0.61288,0.80457,0.31669,0.85156,0.5066,0.9142,0.56395,0.56177
783,-88.11227,42.94699,0.55093,0.99724,0.45124,0.71671,0.0,0.19001,0.69316,0.66716,0.57841,0.01024,0.90721,0.94307,0.57257,0.59687
817,-88.25899,42.95659,0.5591,0.74478,0.49045,0.41952,0.75286,0.67277,0.86692,0.5853,0.25522,0.91716,0.39933,0.98434,0.57871,0.57512
913,-88.27817,42.97129,0.27768,0.70686,0.60057,0.52177,0.0,0.44149,0.77275,0.63298,0.20843,0.15297,0.67002,0.97498,0.4593,0.47959
966,-88.23876,42.97787,0.66115,0.99212,0.0,0.95055,0.95262,0.93952,0.96562,0.90632,0.96937,0.68085,0.94119,0.96552,0.74732,0.73861
1005,-88.33657,42.98659,0.96247,0.86732,0.44307,0.5855,0.43775,0.41765,0.56235,0.112,0.38554,0.38209,0.00739,0.63318,0.42444,0.42452
1030,-88.09153,42.98263,0.55093,0.93578,0.84555,0.71671,0.0,0.19001,0.69316,0.66716,0.57841,0.01024,0.51349,0.9735,0.47633,0.48942
1068,-88.19913,42.99163,0.50138,0.0,0.86387,0.53241,0.67573,0.64687,0.91686,0.89569,0.89381,0.96986,0.61958,0.87421,0.63211,0.61619
1138,-88.47325,43.01015,0.23207,0.0,0.88997,0.93341,0.89273,0.80723,0.70971,0.55831,0.59919,0.80861,0.93065,0.41283,0.58425,0.55215
1148,-88.37519,43.00876,0.96247,0.93528,0.65623,0.5855,0.43775,0.41765,0.56235,0.112,0.38554,0.38209,0.97015,0.95745,0.6172,0.6265
1163,-88.22811,43.0065,0.17642,0.0,0.96326,1.0,0.8882,0.88692,0.9275,0.97656,0.98651,0.99557,0.85402,0.6514,0.82812,0.8209
1187,-88.47307,43.01735,0.23207,0.9342,0.86013,0.93341,0.89273,0.80723,0.70971,0.55831,0.59919,0.80861,0.96562,0.93873,0.66943,0.66066
1207,-88.27693,43.01447,0.98631,0.70686,0.77275,0.8749,0.62175,0.87313,0.83392,0.7829,0.72764,0.9274,0.44504,0.96493,0.65498,0.64892
1208,-88.26712,43.01432,0.98631,0.70686,0.87687,0.8749,0.62175,0.87313,0.83392,0.7829,0.72764,0.9274,0.03379,0.70449,0.69482,0.70778
1209,-88.25731,43.01416,0.98631,0.86732,0.93134,0.8749,0.62175,0.87313,0.83392,0.7829,0.72764,0.9274,0.88603,0.96562,0.76569,0.76678
1210,-88.24751,43.01401,0.51202,0.94681,0.9274,0.6579,0.81541,0.84072,0.95883,0.69622,0.93312,0.9805,0.88524,0.9734,0.80775,0.80076
1211,-88.2377,43.01385,0.68775,0.81156,0.99498,0.97636,0.98069,0.93046,0.98276,0.94228,0.99104,0.67179,0.84545,0.96631,0.83702,0.83001
1212,-88.22789,43.0137,0.00296,0.90711,0.99931,0.99547,0.99596,0.99596,0.94257,0.87451,0.96523,0.94119,0.48503,0.83688,0.73719,0.71492
1213,-88.21809,43.01354,0.33314,0.0,0.98798,0.90051,0.91903,0.97715,0.99182,0.99182,0.95695,0.98729,0.95971,0.67721,0.80066,0.79185
1214,-88.20828,43.01338,0.29098,0.97794,0.42494,0.50847,0.69691,0.95666,0.94671,0.92346,0.91046,0.94533,0.95715,0.99803,0.78196,0.79501
1215,-88.19847,43.01322,0.29098,0.98217,0.46966,0.50847,0.69691,0.95666,0.94671,0.92346,0.91046,0.94533,0.60707,0.93006,0.7165,0.7169
1216,-88.18867,43.01306,0.29098,0.0,0.59703,0.50847,0.69691,0.95666,0.94671,0.92346,0.91046,0.94533,0.60737,0.76044,0.62254,0.60932
1222,-88.12983,43.01208,0.67829,0.93075,0.54236,0.20292,0.77709,0.10185,0.40573,0.20587,0.42484,0.95745,0.72094,0.76192,0.51551,0.50249
1224,-88.11022,43.01175,0.34141,0.8423,0.91066,0.68784,0.87973,0.6384,0.55388,0.40731,0.64835,0.35638,0.68617,0.94543,0.63618,0.62346
1225,-88.10042,43.01158,0.34141,0.88672,0.50108,0.68784,0.87973,0.6384,0.55388,0.40731,0.64835,0.35638,0.68459,0.99892,0.59541,0.58466
1226,-88.09061,43.01141,0.34141,0.88672,0.50108,0.68784,0.87973,0.6384,0.55388,0.40731,0.64835,0.35638,0.68459,0.99892,0.59541,0.58466
1256,-88.27672,43.02167,0.98631,0.0,0.46572,0.8749,0.62175,0.87313,0.83392,0.7829,0.72764,0.9274,0.49261,0.96828,0.57766,0.55896
1258,-88.2571,43.02136,0.98631,0.83491,0.91539,0.8749,0.62175,0.87313,0.83392,0.7829,0.72764,0.9274,0.95489,0.93932,0.80293,0.80971
1259,-88.24729,43.0212,0.51202,0.70686,0.92849,0.6579,0.81541,0.84072,0.95883,0.69622,0.93312,0.9805,0.9146,0.75768,0.76819,0.75757
1260,-88.23749,43.02105,0.04186,0.99537,0.64963,0.99133,0.0,0.98542,0.93203,0.86397,0.94641,0.78339,0.78783,0.98788,0.67987,0.69195
1261,-88.22768,43.02089,0.04186,0.85865,0.94572,0.99133,0.0,0.98542,0.93203,0.86397,0.94641,0.78339,0.78684,0.82496,0.66156,0.67268
1262,-88.21787,43.02074,0.33314,0.74478,0.95952,0.90051,0.91903,0.97715,0.99182,0.99182,0.95695,0.98729,0.96395,0.79866,0.90697,0.90959
1263,-88.20806,43.02058,0.33314,0.96937,0.9077,0.90051,0.91903,0.97715,0.99182,0.99182,0.95695,0.98729,0.96405,0.97626,0.89811,0.89723
1264,-88.19826,43.02042,0.1909,0.967,0.0,0.95892,0.61042,0.96877,0.43341,0.72823,0.75414,0.02975,0.61131,0.89352,0.59309,0.60037
1267,-88.16884,43.01993,0.1909,0.89263,0.51497,0.95892,0.61042,0.96877,0.43341,0.72823,0.75414,0.02975,0.98463,0.97616,0.57794,0.58235
1304,-88.28632,43.02902,0.98631,0.97271,0.42159,0.8749,0.62175,0.87313,0.83392,0.7829,0.72764,0.9274,0.49803,0.99951,0.62012,0.61568
1306,-88.2667,43.02871,0.98631,0.94858,0.52837,0.8749,0.62175,0.87313,0.83392,0.7829,0.72764,0.9274,0.49675,0.95715,0.69373,0.68929
1307,-88.25689,43.02856,0.98631,0.0,0.87736,0.8749,0.62175,0.87313,0.83392,0.7829,0.72764,0.9274,0.88377,0.44247,0.73044,0.72708
1308,-88.24708,43.0284,0.51202,0.85865,0.88918,0.6579,0.81541,0.84072,0.95883,0.69622,0.93312,0.9805,0.9146,0.86771,0.75767,0.74854
1309,-88.23727,43.02825,0.04186,0.94267,0.58186,0.99133,0.0,0.98542,0.93203,0.86397,0.94641,0.78339,0.55398,0.79433,0.60922,0.6261
1310,-88.22747,43.02809,0.04186,0.99852,0.49852,0.99133,0.0,0.98542,0.93203,0.86397,0.94641,0.78339,0.52551,0.7366,0.59454,0.61218
