osm_id,code,fclass,name,point_x,point_y,lon,lat
250392547,2501,supermarket,Pick 'n Save,-88.5417492000,44.0413158000,-88.54175,44.04132
250395308,2303,cafe,Starbucks,-88.5411655000,44.0399460000,-88.54117,44.03995
349365733,2082,school,Clemansville School,-88.5828895000,44.0974838000,-88.58289,44.09748
349369546,2082,school,Enterprise Elementary School,-88.8192786000,44.0627591000,-88.81928,44.06276
349371897,2082,school,Gillingham School,-88.5409439000,44.1555403000,-88.54094,44.15554
349372300,2082,school,Grace Lutheran School,-88.5409671000,44.0097096000,-88.54097,44.00971
349372483,2082,school,Grange School,-88.6040017000,44.0188722000,-88.604,44.01887
349376698,2082,school,Knott School,-88.6631673000,43.9816497000,-88.66317,43.98165
349378183,2082,school,Liberty School,-88.8548349000,44.0627589000,-88.85483,44.06276
349380588,2082,school,Mears School,-88.5428894000,44.1116511000,-88.54289,44.11165
349381972,2082,school,Maple School,-88.7045556000,43.9966491000,-88.70456,43.99665
349382261,2082,school,Mathison School,-88.7051106000,44.1885931000,-88.70511,44.18859
349384216,2082,school,Plainview School,-88.6784448000,43.9827607000,-88.67844,43.98276
349384307,2082,school,Pingry School,-88.7337218000,44.0766486000,-88.73372,44.07665
349388471,2082,school,Saint Johns School,-88.5495583000,44.0077616000,-88.54956,44.00776
349388604,2082,school,Saint Johns School,-88.4408695000,44.2075518000,-88.44087,44.20755
349388908,2082,school,Saint Josephs School,-88.5520576000,44.0349839000,-88.55206,44.03498
349390131,2082,school,Sacred Heart School,-88.5626136000,44.0130393000,-88.56261,44.01304
349391505,2082,school,Saint Peters School,-88.5444281000,44.0198385000,-88.54443,44.01984
349396406,2082,school,Tice School,-88.7045555000,43.9824826000,-88.70456,43.98248
349397463,2082,school,Wolf River School,-88.8446302000,44.1843636000,-88.84463,44.18436
349397697,2082,school,Winnebago School,-88.5184456000,44.0872068000,-88.51845,44.08721
349415048,2082,school,Patch Elementary School,-88.7401106000,44.0352598000,-88.74011,44.03526
349415092,2082,school,Oshkosh Special Education School,-88.5740021000,44.0197058000,-88.574,44.01971
349415118,2082,school,Saint Mary Grade School,-88.4442750000,44.2044307000,-88.44428,44.20443
349415141,2082,school,Martin Luther Evangelical Lutheran School,-88.5582343000,44.0354085000,-88.55823,44.03541
349415181,2082,school,Omro High School,-88.7395550000,44.0463708000,-88.73956,44.04637
349415190,2082,school,Orville Beach Memorial Manual Training School,-88.5401138000,44.0199840000,-88.54011,44.01998
349415232,2082,school,Winneconne Elementary School,-88.7052649000,44.1077104000,-88.70526,44.10771
349415248,2082,school,Winchester Elementary School,-88.6628881000,44.1974827000,-88.66289,44.19748
349415273,2082,school,Utica Center School,-88.7070551000,43.9377609000,-88.70706,43.93776
349415377,2082,school,Trinity Lutheran Grade School,-88.4523307000,44.2022084000,-88.45233,44.20221
349415526,2082,school,Green Meadow Elementary School,-88.6148340000,43.9366508000,-88.61483,43.93665
349415541,2082,school,Jacob Shapiro Elementary School,-88.5642805000,43.9997059000,-88.56428,43.99971
