lat,lon
44.17967,-88.4725
44.17976,-88.473
44.01487,-88.53697
44.01746,-88.53366
44.01765,-88.53114
44.04285,-88.5279
44.0398,-88.52521
44.01782,-88.5225
44.01464,-88.52836
44.01536,-88.53257
44.01564,-88.5342
44.01612,-88.53736
44.02662,-88.53748
44.02668,-88.53643
44.03926,-88.54943
44.03928,-88.54521
44.02138,-88.54153
44.01832,-88.54044
44.03202,-88.55328
44.03204,-88.54929
44.03207,-88.54516
44.03206,-88.54273
44.03209,-88.54018
44.0321,-88.53772
44.03212,-88.53524
44.03215,-88.53268
44.06246,-88.54573
44.04268,-88.54939
44.04292,-88.54527
44.03933,-88.5402
44.03938,-88.53728
44.03942,-88.53406
44.02971,-88.59123
44.03278,-88.57681
44.03365,-88.57467
44.03422,-88.56748
44.03411,-88.5609
44.02511,-88.55256
44.02293,-88.549
44.02159,-88.54667
44.01907,-88.54221
44.01065,-88.57694
44.01056,-88.57154
44.01053,-88.5672
44.01048,-88.56175
44.0104,-88.55626
44.01033,-88.55193
44.01035,-88.54516
44.02902,-88.5792
44.00424,-88.56274
44.00521,-88.55771
44.00576,-88.55447
44.01981,-88.54746
44.00671,-88.58794
44.01804,-88.58512
44.01694,-88.53955
44.0484,-88.54397
44.0153,-88.58274
43.99735,-88.57698
43.9953,-88.61613
44.17767,-88.48232
44.01549,-88.53429
44.01818,-88.5298
44.02014,-88.52982
44.02214,-88.5288
44.02487,-88.52746
44.02673,-88.52748
44.02935,-88.52748
44.03213,-88.5275
44.03449,-88.52752
44.0371,-88.52754
44.03941,-88.52774
44.04095,-88.52785
44.01329,-88.52735
44.02006,-88.53743
44.02239,-88.53746
44.02461,-88.53748
44.028,-88.5338
44.03209,-88.5338
44.03464,-88.53745
44.0381,-88.53752
44.04123,-88.54247
44.0429,-88.54248
44.01948,-88.55602
44.01985,-88.55524
44.01722,-88.55361
44.02124,-88.5473
44.02365,-88.54817
44.02528,-88.55034
44.02835,-88.55319
44.0472,-88.52796
44.04931,-88.52793
44.0514,-88.52788
44.0504,-88.53764
44.05395,-88.53779
44.01031,-88.53866
44.01161,-88.53804
44.01884,-88.56726
43.99841,-88.57946
44.00194,-88.58176
44.00574,-88.58177
44.00872,-88.58153
44.01015,-88.57985
44.01348,-88.58156
44.01614,-88.58158
44.02097,-88.5815
44.02563,-88.58139
44.02993,-88.57602
44.03272,-88.57421
43.99442,-88.57601
43.99711,-88.5732
43.99935,-88.57086
44.00733,-88.55237
44.01029,-88.55234
44.01313,-88.55237
44.01585,-88.55239
43.98968,-88.60072
43.99827,-88.60305
44.00302,-88.60302
44.00674,-88.60301
44.01117,-88.60299
44.0143,-88.60297
44.02076,-88.54247
44.07893,-88.54318
44.04303,-88.52528
44.03946,-88.52281
44.03599,-88.5227
44.03356,-88.52267
44.0314,-88.52264
44.02809,-88.52262
44.02366,-88.5225
